Origin,Destination,Unc_0.7_Cov_0.7,Unc_0.7_Cov_0.75,Unc_0.7_Cov_0.8,Unc_0.7_Cov_0.85,Unc_0.7_Cov_0.9,Unc_0.7_Cov_0.95,Unc_0.7_Cov_1,Unc_0.75_Cov_0.7,Unc_0.75_Cov_0.75,Unc_0.75_Cov_0.8,Unc_0.75_Cov_0.85,Unc_0.75_Cov_0.9,Unc_0.75_Cov_0.95,Unc_0.75_Cov_1,Unc_0.8_Cov_0.7,Unc_0.8_Cov_0.75,Unc_0.8_Cov_0.8,Unc_0.8_Cov_0.85,Unc_0.8_Cov_0.9,Unc_0.8_Cov_0.95,Unc_0.8_Cov_1,Unc_0.85_Cov_0.7,Unc_0.85_Cov_0.75,Unc_0.85_Cov_0.8,Unc_0.85_Cov_0.85,Unc_0.85_Cov_0.9,Unc_0.85_Cov_0.95,Unc_0.85_Cov_1,Unc_0.9_Cov_0.7,Unc_0.9_Cov_0.75,Unc_0.9_Cov_0.8,Unc_0.9_Cov_0.85,Unc_0.9_Cov_0.9,Unc_0.9_Cov_0.95,Unc_0.9_Cov_1,Unc_0.95_Cov_0.7,Unc_0.95_Cov_0.75,Unc_0.95_Cov_0.8,Unc_0.95_Cov_0.85,Unc_0.95_Cov_0.9,Unc_0.95_Cov_0.95,Unc_0.95_Cov_1,Unc_1_Cov_0.7,Unc_1_Cov_0.75,Unc_1_Cov_0.8,Unc_1_Cov_0.85,Unc_1_Cov_0.9,Unc_1_Cov_0.95,Unc_1_Cov_1
Chicago,Cleveland,438.0892,441.037125,442.5615882,445.2257778,447.8175789,445.5183,445.6933636,443.8056667,446.905625,448.4869118,451.2972222,454.0352632,451.6015,451.7936364,449.5221333,452.774125,456.0008235,457.3686667,460.2529474,457.6847,457.8939091,455.2386,458.642625,462.0273824,463.4401111,460.7546316,463.7679,463.9941818,460.9550667,464.511125,466.2628824,469.5115556,466.6922105,469.8511,470.0944545,466.6715333,470.379625,472.1882059,475.583,472.6297895,475.9343,476.1947273,472.388,476.248125,478.1135294,481.6544444,478.5673684,482.0175,482.295
Chicago,Detroit,358.09752,357.5100556,356.6247368,357.2780656,358.1994531,360.7891029,364.1930556,362.9861,362.36625,361.4046491,362.0556557,363.3753125,366.0871324,369.466875,367.25092,367.2224444,366.888386,366.8332459,368.243375,371.5938529,374.7406944,372.09764,372.0786389,372.4424649,371.6108361,373.1777422,376.6809412,380.0145139,376.93998,376.9348333,377.3036316,376.3884262,378.0385469,381.7680294,385.2883333,382.52658,381.7910278,382.1647982,381.1660164,382.8993516,386.8551176,390.5621528,386.6328,386.6472222,387.0259649,385.9436066,387.7601563,391.9422059,395.8359722
Chicago,Duluth,580.5334,580.0318308,579.9961159,579.0742329,580.9025641,583.4093171,586.8925862,588.5565417,586.9844231,586.9381159,585.9578425,587.8623718,590.4889024,594.0961207,595.6088,593.9370154,593.8801159,592.8283562,594.8221795,597.5684878,601.2996552,602.6610583,600.8896077,600.8221159,599.6978562,601.7802115,604.6470732,608.5031897,609.7133167,609.0538923,607.7641159,606.5679315,608.7382179,611.7162195,615.7067241,618.094025,616.0734846,616.0904058,613.4380068,615.6962244,618.7830671,622.9102586,626.615,623.0930769,623.0955072,621.0562162,622.6542308,625.8382927,630.1137931
Chicago,Hamilton,589.904,589.904,585.7224286,585.7224286,590.679125,590.679125,590.9087778,597.26,597.26,592.9389286,592.9389286,598.1259375,598.1259375,598.4780556,604.616,604.616,600.1554286,600.1554286,605.57275,605.57275,606.0473333,611.972,611.972,607.3719286,607.3719286,613.0195625,613.0195625,613.6166111,619.328,619.328,614.5884286,614.5884286,620.466375,620.466375,621.1858889,626.684,626.684,621.8049286,621.8049286,627.9131875,627.9131875,628.7551667,634.1566667,634.1566667,629.0214286,629.0214286,635.36,635.36,636.3244444
Chicago,Milwaukee,165.2328462,163.0550238,160.8483111,166.5124792,172.2025882,175.1548148,179.8150351,167.7690385,165.4782738,163.1675556,169.2322396,175.3008824,178.5733333,183.5206579,170.3052308,167.9015238,165.4868,171.952,178.3991765,181.9918519,187.2262807,172.8414231,170.3247738,167.8060444,174.6717604,181.4974706,185.4103704,190.9319035,175.3776154,172.7480238,170.1252889,177.3915208,184.5957647,188.8288889,194.6375263,177.9138077,175.1712738,172.4445333,180.1112812,186.8562255,192.2474074,198.3431491,180.45,177.5945238,174.7637778,182.8310417,189.9454902,195.6659259,202.0487719
Chicago,Montreal,1041.262967,1039.169594,1042.041118,1044.725306,1047.781658,1050.832625,1055.981884,1052.694583,1050.503047,1053.519926,1056.346458,1059.566513,1062.788187,1068.228779,1062.547667,1064.551188,1064.987059,1067.967611,1071.351368,1074.74375,1080.475674,1073.311033,1074.408219,1076.454191,1079.588764,1083.136224,1086.699313,1092.72257,1087.261833,1088.419531,1089.290971,1091.209917,1094.921079,1098.654875,1104.969465,1098.635583,1101.332219,1102.230044,1102.831069,1106.705934,1110.610438,1117.21636,1112.182333,1112.8825,1113.852941,1114.452222,1118.490789,1122.566,1129.463256
Chicago,Thunder Bay,826.7955238,829.4284,828.789375,831.5295882,832.5645185,831.8070526,832.0904754,836.4339286,839.1644444,840.2009375,841.4054412,842.4587963,841.6353509,841.945041,846.0723333,848.9004889,850.0166667,851.2676471,854.2302593,851.4636491,851.7996066,855.6755833,858.6365333,859.8323958,861.1094608,864.2141759,861.2919474,861.6541721,865.2724048,868.3725778,869.648125,870.9512745,874.1980926,871.1202456,871.5087377,874.8569167,878.1086222,877.2909375,880.7930882,884.1820093,880.9485439,881.3633033,884.4414286,887.8446667,886.99125,890.634902,891.8512963,890.7768421,891.2178689
Chicago,Toledo,331.0892927,329.2311818,331.2874894,334.76506,337.790566,340.8111071,343.5171017,335.5467683,333.5632955,335.7607447,339.48195,342.7225472,345.9591071,348.8584322,340.0042439,337.8954091,340.234,344.19884,347.6545283,351.1071071,354.1997627,344.4617195,342.2275227,344.7072553,348.91573,352.5865094,356.2551071,359.5410932,348.9191951,346.5596364,349.1805106,353.63262,357.5184906,361.4031071,364.8824237,353.3766707,350.89175,353.653766,358.34951,362.4504717,366.5511071,370.2237542,357.8341463,355.2238636,358.1270213,363.0664,367.3824528,371.6991071,375.5650847
Chicago,Toronto,641.5521739,641.3022162,642.993519,642.6572976,642.2947978,642.7352766,643.47,649.7236232,650.1386149,651.2043671,650.8449702,650.4439045,650.892234,651.6353535,657.8950725,658.2979189,659.4151139,659.0326429,658.5930112,660.102383,659.8007071,666.0665217,667.2195946,666.8253544,667.2203155,666.742118,668.3064149,667.9660606,675.0017101,675.4102703,674.994962,676.2983214,674.8866966,676.5104468,676.1314141,683.1997681,683.6009459,683.1645696,684.5252321,683.0203146,684.7144787,684.2967677,691.3882609,691.7916216,691.3341772,692.7521429,691.1539326,691.6420213,692.4621212
Chicago,Windsor,360.2646585,360.7004545,359.2654043,358.72076,360.1069623,362.8891786,366.6911695,364.9033537,365.3685227,363.847766,363.2783,364.7690094,367.7559821,371.806822,369.5420488,369.0319091,368.4301277,367.83584,369.4310566,372.6227857,376.9224746,374.1807439,373.637625,373.0124894,372.39338,374.0939151,377.4895893,382.0381271,378.819439,378.2433409,377.5948511,376.95092,378.769717,382.3563929,387.1537797,383.4581341,381.6765227,382.1772128,381.50846,383.4455189,387.2231964,392.2694322,388.0968293,386.2286364,386.7595745,386.066,388.1213208,392.09,397.3850847
